!SIL	sil
<UNK>	sil
បន្ទាយឆ្មារ	b ɑ n t iɜ j cʰ m aː
បន្ទាយដី	b ɑ n t iɜ j d ɜi
បន្ទាយព្រាល	b ɑ n t iɜ j p r iɜ l
បន្ទាយមានជ័យ	b ɑ n t iɜ j m iɜ n c ɘi
បន្ទាយមាស	b ɑ n t iɜ j m iɜ h
បន្ទាយស្រី	b ɑ n t iɜ j s r ɜi
បន្ទាយ	b ɑ n t iɜ j
បន្ទារ	b ɑ n t iɜ
បន្ទាល់	b ɑ n t oă l
បន្ទាល	b ɑ n t iɜ l
បន្ទាស	b ɑ n t iɜ h
បន្ទុចបង្អាក់	b ɑ n t ʋ c b ɑ ŋ ʔ a ʔ
បន្ទុច	b ɑ n t ʋ c
បន្ទុល	b ɑ n t ʋ l
បន្ទុំ	b ɑ n t ʋ m
បន្ទុះ	b ɑ n t ʋ h
បន្ទូល	b ɑ n t uː l
បន្ទួច	b ɑ n t uɜ c
បន្ទើង	b ɑ n t ɘː ŋ
បន្ទើត	b ɑ n t ɘː t
បន្ទើរ	b ɑ n t ɘː
បន្ទេរ	b ɑ n t eː
បន្ទោបង់	b ɑ n t oː b ɑ ŋ
បន្ទោបស្សាវៈ	b ɑ n t oː p a h s aː β̞ a ʔ
បន្ទោរ	b ɑ n t oː
បន្ទោស	b ɑ n t oː h
បន្ទោះ	b ɑ n t uɜ h
បន្ទោ	b ɑ n t oː
បន្ទំ	b ɑ n t ʋ m
បន្ទះ	b ɑ n t ɛă h
បន្ទ្រាន់	b ɑ n t r oă n
បន្ទ្រេត	b ɑ n t r eː t
បន្ទ្រោម	b ɑ n t r oː m
បន្ធាត់	b ɑ n tʰ oă t
បន្ធូរ	b ɑ n tʰ uː
បន្ធំ	b ɑ n tʰ ʋ m
បន្លប់	b ɑ n l ɑ p
បន្លាច	b ɑ n l aː c
បន្លាយ	b ɑ n l aː j
បន្លាស់ប្តូរ	b ɑ n l a h pʰ d oʊ
បន្លាស់	b ɑ n l a h
បន្លា	b ɑ n l aː
បន្លិច	b ɑ n l e c
បន្លឹម	b ɑ n l ɜ m
បន្លឺ	b ɑ n l ɜɘ
បន្លុង	b ɑ n l o ŋ
បន្លុយ	b ɑ n l o j
បន្លួញខ្នងកង់	b ɑ n l uɜ ɲ kʰ n ɑː ŋ k ɑ ŋ
បន្លួញ	b ɑ n l uɜ ɲ
បន្លៀន	b ɑ n l iɜ n
បន្លែបង្ការ	b ɑ n l aɛ b ɑ ŋ k aː
បន្លែ	b ɑ n l aɛ
បន្លោះ	b ɑ n l ɑ h
បន្លំ	b ɑ n l ɑ m
បន្សល់	b ɑ n s ɑ l
បន្សាក់	b ɑ n s a ʔ
បន្សាត់	b ɑ n s a t
បន្សាប	b ɑ n s aː p
បន្សាយ	b ɑ n s aː j
បន្សារ	b ɑ n s aː
បន្សាល់	b ɑ n s a l
បន្សាំ	b ɑ n s a m
បន្សឹក	b ɑ n s ɜ k
បន្សុទ្ធ	b ɑ n s o t
បន្សុទ	b ɑ n s o t
បន្សើច	b ɑ n s aɜ c
បន្សើម	b ɑ n s aɜ m
បន្សោក	b ɑ n s aɔ k
បន្សោះ	b ɑ n s ɑ h
បន្សំ	b ɑ n s ɑ m
បន្សះ	b ɑ n s a h
បន្ស៊ាំ	b ɑ n s oă m
បន្ស៊ី	b ɑ n s iː
បន	b ɑː n
បបក់	b ɑː b ɑ ʔ
បបរ	b ɑː b ɑː
បបុស	b ɑː b o h
បបូរ	b ɑː b oʊ
បបួល	b ɑː b uɜ l
បបែលទង់	b ɑː b aɛ l t ʋ ŋ
បបែល	b ɑː b aɛ l
បបោសអង្អែល	b ɑː b aɔ h ʔ ɑ ŋ ʔ aɛ l
បបោស	b ɑː b aɔ h
បពិត្រ	b ɑː p i t
បព្ចាប់	b a ɲ c ɑ p
បព្ឈាប់	b a ɲ cʰ ʋ p
បព្ឈារ	b a ɲ cʰ ɔː
បព្វជិតនាម	b oă p p ɛă ʔ c i t a ʔ n iɜ m
បព្វជិត	b oă p p ɛă ʔ c i t
បព្វជ្ជន្តេវាសិក	b oă p p ɛă c c ʋ n t ɛe β̞ iɜ s e k
បព្វជ្ជាចារ្យ	p oă p p ɛă c c iɜ c aː
បព្វជ្ជានិសង្ស	b oă p p ɛă c c iɜ n i s ɑ ŋ
បព្វជ្ជាវិធី	b oă p p ɛă c c iɜ β̞ i tʰ iː
បព្វជ្ជា	b oă p p ɛă c c iɜ
បព្វតរាជ	b oă p p ɛă ʔ t a ʔ r iɜ c
បព្វត	b oă p p ɛă ʔ t a ʔ
បព្វាជនីយកម្ម	b oă p p iɜ c ɛă ʔ n iː j ɛă ʔ k a m
បព្វាជនីយ	b oă p p iɜ c ɛă ʔ n iː
បព្វៈ	b oă p p ɛă ʔ
បភ្លែត	p ɑː pʰ l ɛː t
បម្រាប់	b ɑ m r a p
បម្រាប	b ɑ m r aː p
បម្រាម	b ɑ m r aː m
បម្រាស់	b ɑ m r a h
បម្រាស	b ɑ m r aː h
បម្រឹង	b ɑ m r ɜ ŋ
បម្រុងតែ	b ɑ m r o ŋ t aɛ
បម្រុង	b ɑ m r o ŋ
បម្រើការងារ	b ɑ m r aɜ k aː ŋ iɜ
បម្រើសេវា	b ɑ m r aɜ s ɛe β̞ aː
បម្រើ	b ɑ m r aɜ
បម្រែបម្រួល	b ɑ m r aɛ b ɑ m r uɜ l
បម្រោស	b ɑ m r aɔ h
បម្រះរួច	b ɑ m r a h r uɜ c
បម្រះ	b ɑ m r a h
បម្លាស់ប្តូរ	b ɑ m l a h pʰ d oʊ
បម្លាស់	b ɑ m l a h
បម្ហប	b ɑ m h ɑː p
បម	b ɑː m
បយ្យកៈ	b ai j a ʔ k a ʔ
បរគាវ	p a ʔ r a ʔ k iɜ β̞
បរញ្ញុតា	p a ʔ r a ɲ ɲ ʋ t aː
បរទារកម្ម	b a ʔ r a ʔ t iɜ r a ʔ k a m
បរទារការ	p a ʔ r a ʔ t iɜ r ɛă ʔ k aː
បរទារ	p a ʔ r a ʔ t iɜ
បរទេស	b ɑː r a ʔ t eː h
បរទ	p a ʔ r a ʔ t ɛă ʔ
បរនិម្មិតវសវតី	p a ʔ r a ʔ n i m m i t a ʔ β̞ ɛă ʔ s a ʔ β̞ ɛă ʔ t ɜi
បរនិម្មិត	p a ʔ r a ʔ n i m m i t
បរបាញ់	b ɑː b a ɲ
បរពត	b ɑː r a ʔ p oă t
បរមកោដ្ឋ	b ɑː r o m m a ʔ k aɔ t
បរមត្ថកថា	p a ʔ r a ʔ m a t tʰ a ʔ k a ʔ tʰ aː
បរមត្ថវិជ្ជា	p a ʔ r a ʔ m a t tʰ a ʔ β̞ i c c iɜ
បរមត្ថវិទូ	p a ʔ r a ʔ m a t tʰ a ʔ β̞ i t uː
បរមត្ថ	b a ʔ r a ʔ m a t
បរមនាថ	b ɑː r o m m a ʔ n iɜ t
បរមបុរាណ	b ɑː r o m b o r aː n
បរមសព	b ɑː r o m m a ʔ s ɑ p
បរមាណូ	b a ʔ r a ʔ m aː n oʊ
បរមាភិធេយ្យ	p a ʔ r a ʔ m aː pʰ i tʰ ɘi
បរមាភិសម្ពោធិ	p a ʔ r a ʔ m aː pʰ i s ɑ m p oː tʰ i
បរមាភិ	p a ʔ r a ʔ m aː pʰ i
បរមិន្ទ	p a ʔ r a ʔ m i n
បរមីសូរ	p a ʔ r a ʔ m ɜi s oʊ
បរមេសូរ	p a ʔ r a ʔ m eː s oʊ
បរមេស្ឋ	p a ʔ r a ʔ m eː h
បរមេស្វរៈ	p a ʔ r a ʔ m eː s β̞ a ʔ r a ʔ
បរមោវាទ	p a ʔ r a ʔ m aɔ β̞ iɜ t
បរម្បរា	p a ʔ r a m p a ʔ r aː
បរម	b ɑː r o m
បររដ្ឋាភិបាល	p a ʔ r a ʔ r oă t tʰ aː pʰ i b aː l
បរលោក	p a ʔ r a ʔ l oː k
បរវេណ	p a ʔ r a ʔ β̞ eː n
បរវេល	p a ʔ r a ʔ β̞ eː l
បរសេដ្ឋ	b ɑː s aɛ t
បរាកោដិ	p a ʔ r aː k aɔ t
បរាជិនភាព	p a ʔ r aː c i n ɛă ʔ pʰ iɜ p
បរាជ័យ	p a ʔ r aː c ɘi
បរាធីន	p a ʔ r aː tʰ iː n
បរាភព	p a ʔ r aː pʰ ʋ p
បរា	p a ʔ r aː
បរិកម្ម	p a r e k a m
បរិការណ៍	p a ʔ r e k aː
បរិក្ខារ	p a ʔ r e kʰ aː
បរិក្ខា	p a ʔ r e kʰ aː
បរិចារិកា	p a ʔ r e c aː r e k aː
បរិចារ	p a ʔ r e c aː
បរិច្ចាគ	b ɑː r e c c aː k
បរិច្ឆិន្ន	p a ʔ r e c cʰ e n
បរិច្ឆេទ	p a ʔ r e c cʰ aɛ t
បរិជន	p a ʔ r e c ʋ n
បរិត្ត	p a ʔ r e t
បរិនាយក	p a ʔ r e n iɜ j ɔ ʔ
បរិនិព្វាន	p a ʔ r e n i p p iɜ n
បរិបទ	p a ʔ r e b ɑ t
បរិបូណ៌	b ɑː r e b oʊ
បរិបូរណ៍	b ɑː r e b oʊ
បរិបូរ	b ɑː r e b oʊ
បរិផលិតកម្ម	p a ʔ r e pʰ a ʔ l i t t a ʔ k a m
បរិពារ	b ɑː r e p iɜ
បរិព័ទ្ធ	b ɑː r e p oă t
បរិភាសកៈ	b ɑː r e pʰ iɜ s a ʔ k a ʔ
បរិភាសន៍	b ɑː r e pʰ iɜ h
បរិភាសិកា	b ɑː r e pʰ iɜ s e k aː
បរិភាស	b ɑː r e pʰ iɜ h
បរិភោគប័ណ្ណ	b ɑː r e pʰ oː k ɛă ʔ b a n
បរិភោគ	b ɑː r e pʰ oː k
បរិមណ្ឌល	p a ʔ r e m ʋ n d ʋ l
បរិមាណ	p a ʔ r e m aː n
បរិមាត្រ	p a ʔ r e m aː t
បរិយត្តិ	p a ʔ r e j a t
បរិយាកាស	p a ʔ r e j aː k aː h
បរិយាយ	b ɑː r e j aː j
បរិយោសាន	p a ʔ r e j aɔ s aː n
បរិវច្ឆនដ្ឋាន	p a ʔ r e β̞ a c cʰ a ʔ n a t tʰ aː n
បរិវត្តកម្ម	p a ʔ r e β̞ oă t t a ʔ k a m
បរិវត្តករ	p a ʔ r e β̞ oă t t a ʔ k ɑː
បរិវត្តកៈ	p a ʔ r e β̞ oă t t a ʔ k a ʔ
បរិវត្តន៍	p a ʔ r e β̞ oă t
បរិវារជន	b ɑː r e β̞ aː r a ʔ c ʋ n
បរិវារសម្ប័ទ	b ɑː r e β̞ aː r a ʔ s ɑ m b a t
បរិវារស័ព្ទ	b ɑː r e β̞ aː s a p
បរិវារ	b ɑː r e β̞ aː
បរិវាសកម្ម	b ɑː r e β̞ aː s a ʔ k a m
បរិវាស	b ɑː r e β̞ aː h
បរិវិតក្ក	b a ʔ r e β̞ i t ɑ ʔ
បរិវេណ	p a ʔ r e β̞ eː n
បរិវ៉ាត់	b ɑː r e β̞ a t
បរិសុទ្ធិ	b ɑː r e s o t
បរិសុទ្ធ	b ɑː r e s o t
បរិស័ទ	b ɑː r e s a t
បរិស្ថាន	p a ʔ r e tʰ aː n
បរិហារ	b ɑː r e h aː
បរេបរោ	p a ʔ r ɛe p a ʔ r aɔ
បរេ	p a ʔ r ɛe
បរោហិត	p a ʔ r aɔ h e t
បរោ	p a ʔ r aɔ
បរ	b ɑː
បលិពោធ	p a ʔ l i pʰ oː t
បល្ល័ង្ក	p a l l a ŋ
បល	b ɑː l
បវត្តិ	p a ʔ β̞ oă t
បវរស្នេហា	b ɑː β̞ ɑː s n aɛ h aː
បវរ	b ɑː β̞ ɑː
បវារណា	p a ʔ β̞ aː r a ʔ n aː
បវេណីនិយម	p a ʔ β̞ eː n iː n i j ʋ m
បវេណី	p a ʔ β̞ eː n iː
បវេសនកាល	p a ʔ β̞ ɛe s a ʔ n a ʔ k aː l
បសាទ	p a ʔ s aː t
បសុ	p a ʔ s o
បសេដ្ឋ	b ɑː s aɛ t
បសំសា	p a ʔ s a ŋ s aː
បស្ចិម	b a h c e m
បស្សាវមគ្គ	p a h s aː β̞ ɑː m ɛă ʔ
បស្សាវៈ	p a h s aː β̞ a ʔ
បស្សាវ	p a h s aː β̞
បស្សាសៈ	p a h s aː s a ʔ
បហរណវត្ថុ	p a ʔ h a ʔ r a ʔ n a ʔ β̞ a t tʰ o
បាកាឌី	b aː k aː d iː
បាកាន	b aː k aː n
បាកូនី	b aː k oʊ n iː
បាក់គាំ	b a ʔ k oă m
បាក់ចិត្ត	b a ʔ c e t
បាក់ជ័របាយ	b a ʔ c oa b aː j
បាក់ដង	b a ʔ d ɑː ŋ
បាក់ដំឡូង	b a ʔ d ɑ m l oʊ ŋ
បាក់ឌុប	b a ʔ d ʋ p
បាក់តេរីអេមី	b a ʔ t ɛe r iː ʔ ɛe m iː
បាក់តេរី	b a ʔ t ɛe r iː
បាក់ទឹកចិត្ត	b a ʔ t ɘ k c e t
បាក់ទូក	b a ʔ t uː k
បាក់ទ័ព	b a ʔ t oă p
បាក់បបខ្លបខ្លាច	b a ʔ b ɑː p kʰ l ɑː p kʰ l aː c
បាក់បប	b a ʔ b ɑː p
បាក់ផ្ដៅ	b a ʔ pʰ d aɨ
បាក់សាច់	b a ʔ s a c
បាក់ស្បាត	b a ʔ s b aː t
បាក់ស្រ	b a ʔ s r ɑː
បាក់	b a ʔ
បាគង	b aː k ɔː ŋ
បាគី	b aː k iː
បាគូ	b aː k uː
បាគោ	b aː k oː
បាឃ័រ	b aː kʰ oa
បាង	b aː ŋ
បាចលាជ	b aː c l iɜ c
បាចសរ	b aː c s ɑː
បាចសាច	b aː c s aː c
បាចិត្តិយៈ	p aː c e t t e j ɛă ʔ
បាច់	b a c
បាច	b aː c
បាញ់កាញ់	b a ɲ k a ɲ
បាញ់រង	b a ɲ r ɔː ŋ
បាញ់ស្រោច	b a ɲ s r aɔ c
បាញ់	b a ɲ
បាញ	b aː ɲ
បាដាដ	b aː d aː t
បាដិទេសនីយ	p aː d e t eː s a ʔ n iː
បាដិភោគ	p aː d e pʰ oː k
បាដិមោក្ខ	p aː d e m aɔ k
បាដិហារិយ៍	p aː d e h aː
បាដិហារ្យ	p aː d e h aː
បាដេស	b aː d ɛe h
បាឋកថា	p aː tʰ a ʔ k a ʔ tʰ aː
បាឋកៈ	p aː tʰ a ʔ k a ʔ
បាឋិកា	p aː tʰ e k aː
បាឋ	p aː tʰ a ʔ
បាណន់	b aː n ɑ n
បាណាតិបាត	p aː n aː t e p aː t
បាណាម	b aː n aː m
បាណា	b aː n aː
បាណី	b aː n ɜi
បាណៈ	p aː n a ʔ
បាតរាស	p aː t a ʔ r aː h
បាតសមុទ្រ	b aː t s a ʔ m o t
បាតាល	b aː d aː l
បាតា	b aː t aː
បាតិកង្គៈ	p aː t e k a ŋ k ɛă ʔ
បាតិក	p aː t e k
បាតិមោក្ខ	p aː t e m aɔ k
បាតុភាព	p aː t o pʰ iɜ p
បាតុភូត	p aː t o pʰ uː t
បាតូ	b aː t oʊ
បាត់គំនិត	b a t k ʋ m n i t
បាត់ដឹង	b a t d ɜ ŋ
បាត់ដំបង	b a t d ɑ m b ɑː ŋ
បាត់បង់	b a t b ɑ ŋ
បាត់ប័ណ្ណ	b a t b a n
បាត់យស	b a t j uɜ h
បាត់ស្ងាត់	b a t s ŋ a t
បាត់ស្មារតី	b a t s m aː r ɔː d ɜi
បាត់អស់	b a t ʔ ɑ h
បាត់	b a t
បាត្រ	b aː t
បាត	b aː t
បាទចរណ៍	b aː t ɛă ʔ c ɑː
បាទចារី	b aː t j aː r ɜi
បាទបរិចារិកា	b aː t b ɑː r e c aː r e k aː
បាទមូល	b aː t ɛă ʔ m uː l
បាទា	b aː t iɜ
បាទី	b aː t iː
បាទ	b aː t
បាធ្យាយ	b aː t tʰ j iɜ j
បានកាម	b aː n k aː m
បានការ	b aː n k aː
បានកើត	b aː n k aɜ t
បានជាំ	b aː n c oă m
បានជា	b aː n c iɜ
បានដាក់ចុះ	b aː n d a ʔ c o h
បានទ្រនំខ្ពស់	b aː n t r ɔː n ʋ m kʰ p uɜ h
បានធ្វើការ	b aː n tʰ β̞ ɘː k aː
បានធ្វើអោយ	b aː n tʰ β̞ ɘː ʔ aɔ j
បាននោះ	b aː n n ʋ h
បានន័យថា	b aː n n ɘi tʰ aː
បានន័យ	b aː n n ɘi
បានមាត់បានក	b aː n m oă t b aː n k ɑː
បានរស់នៅ	b aː n r uɜ h n ɘɨ
បានឡើយ	b aː n l aɜ j
បានីយៈ	b aː n iː j ɛă ʔ
បានីយ	b aː n iː
បានី	b aː n iː
បាន	b aː n
បាបកម្ម	b aː b a ʔ k a m
បាបគ្រោះ	b aː p a ʔ k r uɜ h
បាបចិត្ត	b aː p a ʔ c e t
បាបធម៌	b aː p a ʔ tʰ oa
បាបមិត្ត	b aː b a ʔ m i t
បាបា	b aː b aː
បាបេ	b aː b ɛe
បាប់	b a p
បាប	b aː p
បាពួន	b aː p uɜ n
បាភ្នំ	b aː pʰ n ʋ m
បាមោក្ខ	b aː m aɔ k
បាមោជ្ជ	b aː m aɔ c
បាម៉ាន	b aː m aː n
បាយការណ៍	b aː j k aː
បាយក្រញិញ	b aː j k r ɑː ɲ e ɲ
បាយក្រៀម	b aː j k r iɜ m
បាយខុន	b aː j kʰ o n
បាយខុំ	b aː j kʰ o m
បាយខែ	b aː j kʰ aɛ
បាយគំទឹក	b aː j k ʋ m t ɘ k
បាយជូរ	b aː j c uː
បាយដំណើប	b aː j d ɑ m n aɜ p
បាយតម្រាំ	b aː j d ɑ m r a m
បាយបត្តបូរ	b aː j b a t t b oʊ
បាយបៀង	b aː j b iɜ ŋ
បាយព្រលឹង	b aː j p r ɔː l ɘ ŋ
បាយម៉ាត	b aː j m aː t
បាយម៉ាន	b aː j m aː n
បាយសិង្ឃាដក៍	b aː j s e ŋ kʰ iɜ t
បាយសី	b aː j s ɜi
បាយស្រស់ទឹក	b aː j s r ɑ h t ɘ k
បាយស្រា	b aː j s r aː
បាយស្រី	b aː j s r ɜi
បាយស	b aː j s ɑː
បាយឡី	b aː j l ɜi
បាយឡ	b aː j l ɑː
បាយអ	b aː j ʔ ɑː
បាយាប	b aː j aː p
បាយាស	b aː j aː h
បាយ៉ង់	b aː j ɑ ŋ
បាយ៉ាប	b aː j aː p
បាយ័ន	b aː j oă n
បាយ	b aː j
បារគូ	b aː k uː
បារណាមួយ	b aː n aː m uɜ j
បារត	b aː r ɑː t
បារទ	b aː r ɑː t
បារមី	b aː r ɔː m ɜi
បារម្ភ	b aː r ɑ m
បារម្មណ៍	b aː r ɑ m
បារាយណ៍ទឹកថ្លា	b aː r aː j t ɘ k tʰ l aː
បារាយណ៍	b aː r aː j
បារាយ	b aː r aː j
បារាស់	b aː r a h
បារាស	b aː r aː h
បារាំកំពូល	b aː r oă m k ɑ m p uː l
បារាំងសែស	b aː r a ŋ s aɛ h
បារាំង	b aː r a ŋ
បារាំយ៉ត	b aː r oă m j ɑː t
បារាំ	b aː r oă m
បារិជាត	b aː r i c iɜ t
បារី	b aː r ɜi
បារៀន	b aː r iɜ n
បារ៉ត	b aː r ɑː t
បារ៉ា	b aː r aː
បារ៉ែន	b aː r aɛ n
បារ៉ែល	b aː r aɛ l
បារ៍	b aː
បារ្យ៉ូម	b aː r j oʊ m
បារ	b aː
បាលធីម៉ូរ៉េ	b aː l tʰ iː m oʊ r ɛe
បាលិត	b aː l e t
បាលី	b aː l ɜi
បាលូង	b aː l uː ŋ
បាលូ	b aː l uː
បាលេ	b aː l ɛe
បាល់ទាត់	b a l t oă t
បាល់បោះ	b a l b ɑ h
បាល់ឡេ	b a l l ɛe
បាល់អោប	b a l ʔ aɔ p
បាល់ឱប	b a l ʔ aɔ p
បាល់	b a l
បាល័ដ្ឋ	b aː l a t
បាល	b aː l
បាវចនា	p aː β̞ a ʔ c a ʔ n aː
បាវចនៈ	p aː β̞ a ʔ c a ʔ n a ʔ
បាវបម្រើ	b aː β̞ b ɑ m r aɜ
បាវព្រាវ	b aː β̞ p r iɜ β̞
បាវិត	b aː β̞ e t
បាវ	b aː β̞
បាសកា	b aː s a ʔ k aː
បាសក	b aː s ɑ ʔ
បាសសរីរាង្គ	b aː h s a ʔ r ɜi r iɜ ŋ
បាសាក់	b aː s a ʔ
បាសាណ	b aː s aː n
បាសាំង	b aː s a ŋ
បាស៊ី	b aː s iː
បាស្កា	b aː s k aː
បាស្កូ	b aː s k oʊ
បាស	b aː h
បាហុនកដ្ឋាន	b aː h o n a ʔ k a t tʰ aː n
បាហុនកៈ	b aː h o n a ʔ k a ʔ
បាហុន	b aː h o n
បាហ្គែ	b aː h k ɛː
បាហ្វាឡូ	b aː h β̞ aː l oʊ
បាហ្សី	b aː h s ɜi
បាឡាត់	b aː l a t
បាឡី	b aː l ɜi
បាឡេណា	b aː l ɛe n aː
បាឡេ	b aː l ɛe
បាឡែន	b aː l aɛ n
បាំងខែល	b a ŋ kʰ aɛ l
បាំងឆត្រ	b a ŋ cʰ a t
បាំងភក់	b a ŋ pʰ ɔ ʔ
បាំងសាច	b a ŋ s aː c
បាំងស្ទើរ	b a ŋ s t ɘː
បាំង	b a ŋ
បា	b aː
បិកា	b e k aː
បិច	b e c
បិដកត្រ័យ	b ɜi d ɑ ʔ t r ai
បិដក	b ɜi d ɑ ʔ
បិដរ	b ɜi d ɑː
បិដ្ឋ្យដ្ឋិក	p e t tʰ j a t tʰ e k a ʔ
បិណ្ឌបាតចារិកវត្ត	b e n d ɛă ʔ b aː t c aː r e k a ʔ β̞ oă t
បិណ្ឌបាតទាន	b e n d ɛă ʔ b aː t t iɜ n
បិណ្ឌបាតប្បច្ច័យ	b e n d ɛă ʔ b aː t a p p a c c ai
បិណ្ឌបាតិកង្គៈ	b e n d ɛă ʔ b aː t e k a ŋ k ɛă ʔ
បិណ្ឌបាត	b e n d ɛă ʔ b aː t
បិណ្ឌ	b e n
បិតជាតិ	b e t c iɜ t
បិតបន្ទោះ	b e t b ɑ n t uɜ h
បិតរ	b ɜi d ɑː
បិតាមហា	b ɜi d aː m h aː
បិតា	b ɜi d aː
បិតុច្ឆា	p e t o c cʰ aː
បិតុភាព	p e t o pʰ iɜ p
បិតុលានី	p e t o l aː n iː
បិតុលៈ	p e t o l a ʔ
បិតុ	b ɜi t o
បិត	b e t
បិទកាវ	b e t k aː β̞
បិទបាំង	b e t b a ŋ
បិទពួន	b e t p uɜ n
បិទ	b e t
បិនី	b e n ɜi
បិយ	b ɜi
បិល	b e l
បិសាច	b ɜi s aː c
បិ	b e
បីដូចជា	b ɜi d oʊ c c iɜ
បីដូច	b ɜi d oʊ c
បីតិ	p ɜi t e
បីបម	b ɜi b ɑː m
បីបាច់	b ɜi b a c
បីរយ	b ɜi r ɔː j
បី	b ɜi
បឹឃ្យូឃិ	b ɜ kʰ j uː kʰ i
បឹងកន្ទួត	b ɜ ŋ k ɑ n t uɜ t
បឹងខ្នារ	b ɜ ŋ kʰ n aː
បឹងខ្យាង	b ɜ ŋ kʰ j aː ŋ
បឹងត្រង់	b ɜ ŋ t r ɑ ŋ
បឹងបួរ	b ɜ ŋ b uɜ
បឹងបួ	b ɜ ŋ b uɜ
បឹងព្រលិត	b ɜ ŋ p r ɔː l i t
បឹងរាំង	b ɜ ŋ r ɛă ŋ
បឹងសាឡាង	b ɜ ŋ s aː l aː ŋ
បឹង	b ɜ ŋ
បឹបឺរី	b ɜ b ɜɘ r iː
បឹម	b ɜ m
បឺក	b ɜɘ k
បឺតស្រូប	b ɜɘ t s r oʊ p
បឺត	b ɜɘ t
បឺនីស	b ɜɘ n iː h
បឺរប៊ន	b ɜɘ b ɔː n
បឺរហ្គឺរ	b ɜɘ h k ɨː
បឺរហ្គឺ	b ɜɘ h k ɨː
បឺរី	b ɜɘ r iː
បឺរ៉ា	b ɜɘ r aː
បឺរ	b ɜɘ
បឺលីន	b ɜɘ l iː n
បឺហ្គឺរ	b ɜɘ h k ɨː
បឺះ	b ɜɘ h
បឺ	b ɨː
បុង	b o ŋ
បុច្ឆនសញ្ញា	p o c cʰ a ʔ n a ʔ s a ɲ ɲ aː
បុច្ឆន	p o c cʰ a ʔ n a ʔ
បុច្ឆាសព្វនាម	p o c cʰ aː s ɑ p p ɛă ʔ n iɜ m
បុច្ឆា	p o c cʰ aː
បុញ្ញាភិនីហារ	p o ɲ ɲ aː pʰ i n iː h aː
បុញ្ញ	b o ɲ ɲ a ʔ
បុណ្យកថិន	b o n k a ʔ tʰ e n
បុណ្យឆ្លង	b o n cʰ l ɑː ŋ
បុណ្យទិន	b o n t i n
លយកន្ទោង	l ɔː j k ɑ n t oː ŋ
លើកខ្មោច	l ɘː k kʰ m aɔ c
បុណ្យ	b o n
បុត្តទាន	b o t t a ʔ t iɜ n
បុត្តភាព	b o t t a ʔ pʰ iɜ p
បុត្តមារ	b o t t a ʔ m aː
បុត្តា	b o t t aː
បុត្ត	b o t
បុត្រធីតា	b o t tʰ iː d aː
បុត្រាធីន	b o t t r aː tʰ iː n
បុត្រា	b o t t r aː
បុត្រី	b o t t r ɜi
បុត្រ	b o t
បុត	b o t
បុថុជ្ជន	p o tʰ o c c ʋ n
បុទម	b o t ʋ m
បុនជីវន	b o n c iː β̞ ɔː n
បុនប្បុនក្កម្ម	p o n a p p o n a ʔ k a m
បុនប្បុនក្ការ	p o n a p p o n a ʔ k aː
បុន	b o n
បុបប៊ី	b o p b iː
បុប្ផគន្ធ	b o p pʰ a ʔ k ʋ n
បុប្ផជាតិ	b o p pʰ a ʔ c iɜ t
បុប្ផវតី	b o p pʰ a ʔ β̞ ɛă ʔ t ɜi
បុប្ផាកេសរ	b o p pʰ aː k aɛ s ɑː
បុប្ផានារី	b o p pʰ aː n iɜ r iː
បុប្ផារាម	b o p pʰ aː r aː m
បុប្ផា	b o p pʰ aː
បុប្ផ	b o p pʰ a ʔ
បុប	b o p
បុព្វការី	b o p p ɛă ʔ k aː r ɜi
បុព្វជិត	b o p p ɛă ʔ c i t
បុព្វតា	b o p p ɛă ʔ t aː
បុព្វនិមិត្ត	b o p p ɛă ʔ n i m i t
បុព្វលាភ	b o p p ɛă ʔ l iɜ p
បុព្វសិទ្ធិ	b o p p ɛă ʔ s e t
បុព្វេសន្និវាស	b o p p eː s ɑ n n i β̞ iɜ h
បុព្វេ	b o p p eː
បុព្វោ	b o p p oː
បុព្វ	b o p p ɛă ʔ
បុរត្ថិមទិស	p o r a t tʰ e m a ʔ t ɘ h
បុរត្ថិមានុទិស	p o r a t tʰ e m aː n ʋ t ɘ h
បុរត្ថិម	p o r a t tʰ e m
បុរត្ថិ	p o r a t
បុរស	b o r ɑ h
បុរាណដ្ឋាន	b o r aː n a t tʰ aː n
បុរាណវាទ	b o r aː n a ʔ β̞ iɜ t
បុរាណស្ថាន	b o r aː n s tʰ aː n
បុរាណ	b o r aː n
បុរិន្ទ	b o r i n
បុរិសភាវរូប	b o r i s a ʔ pʰ iɜ β̞ ɛă ʔ r uː p
បុរិសភាវ	b o r i s a ʔ pʰ iɜ β̞ ɛă ʔ
បុរិសសព្វនាម	b o r e s a ʔ s ɑ p p ɛă ʔ n iɜ m
បុរិសៈ	b o r i s a ʔ
បុរិស	b o r i h
បុរីរដ្ឋ	b o r ɜi r oă t
បុរីរម្យ	b o r ɜi r ʋ m
បុរី	b o r ɜi
បុរេចារកិច្ច	b o r ɛe c aː r a ʔ k e c
បុរេភត្តកាល	b o r ɛe pʰ oă t t a ʔ k aː l
បុរេភត្តកិច្ច	b o r ɛe pʰ oă t t a ʔ k e c
បុរេភត្ត	b o r ɛe pʰ oă t
បុរេសហគមន៍	b o r ɛe s a ʔ h a ʔ k ʋ m
បុរេ	b o r ɛe
